관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,북구 양산동 1082,북구 연양로117번길 1,1,200만,360도,30일,2023,35.20604,126.880367,2025-12-31
광주광역시 사회재난과,북구 양산동 1082,북구 연양로117번길 1,1,200만,360도,30일,2024,35.20604,126.880367,2025-12-31
광주광역시 사회재난과,북구 양산동 209-166,북구 상촌로 16,1,200만,360도,30일,2024,35.212015,126.876376,2025-12-31
광주광역시 사회재난과,북구 양산동 209-166,북구 상촌로 16,2,200만,360도,30일,2021,35.212015,126.876376,2025-12-31
광주광역시 사회재난과,북구 양산동 249-78,북구 임방울대로1042번길 19,1,200만,360도,30일,2018,35.210156,126.870701,2025-12-31
광주광역시 사회재난과,북구 양산동 249-78,북구 임방울대로1042번길 19,1,200만,360도,30일,2022,35.210156,126.870701,2025-12-31
광주광역시 사회재난과,북구 양산동 249-78,북구 임방울대로1042번길 19,1,200만,360도,30일,2023,35.210156,126.870701,2025-12-31
광주광역시 사회재난과,북구 양산동 254-35,북구 효열로 29,1,200만,360도,30일,2024,35.207937,126.871921,2025-12-31
광주광역시 사회재난과,북구 양산동 254-35,북구 효열로 29,1,200만,360도,30일,2018,35.207937,126.871921,2025-12-31
광주광역시 사회재난과,북구 양산동 254-35,북구 효열로 29,1,200만,360도,30일,2019,35.207937,126.871921,2025-12-31
광주광역시 사회재난과,북구 양산동 254-35,북구 효열로 29,1,200만,360도,30일,2020,35.207937,126.871921,2025-12-31
광주광역시 사회재난과,북구 양산동 653,북구 양일로 78,1,200만,360도,30일,2024,35.197681,126.873274,2025-12-31
광주광역시 사회재난과,북구 양산동 653,북구 양일로 78,1,200만,360도,30일,2022,35.197681,126.873274,2025-12-31
광주광역시 사회재난과,북구 양산동 660-98,북구 양산신촌길 24,1,200만,360도,30일,2024,35.198242,126.873552,2025-12-31
광주광역시 사회재난과,북구 양산동 660-98,북구 양산신촌길 24,1,200만,360도,30일,2024,35.198242,126.873552,2025-12-31
광주광역시 사회재난과,북구 양산동 984,,1,200만,360도,30일,2024,35.207747,126.876511,2025-12-31
광주광역시 사회재난과,북구 양산동 984,,3,200만,360도,30일,2021,35.207747,126.876511,2025-12-31
광주광역시 사회재난과,북구 양산동 284-53,북구 하서로339번길 7,2,200만,360도,30일,2022,35.205405,126.872847,2025-12-31
광주광역시 사회재난과,북구 연제동 478-184 ,북구 양산제로137번길 22,1,200만,360도,30일,2024,35.204419,126.870488,2025-12-31
광주광역시 사회재난과,북구 연제동 478-184 ,북구 양산제로137번길 22,2,200만,360도,30일,2019,35.204419,126.870488,2025-12-31
광주광역시 사회재난과,북구 연제동 478-184 ,북구 양산제로137번길 22,1,200만,360도,30일,2022,35.204419,126.870488,2025-12-31
광주광역시 사회재난과,북구 오룡동 1113,북구 임방울대로 877,1,200만,360도,30일,2013,35.220683,126.859047,2025-12-31
광주광역시 사회재난과,북구 오룡동 1113,북구 임방울대로 877,1,200만,360도,30일,2022,35.220683,126.859047,2025-12-31
광주광역시 사회재난과,북구 오치동 1003,북구 서하로194번길 2,1,200만,360도,30일,2018,35.186764,126.901519,2025-12-31
광주광역시 사회재난과,북구 오치동 1003,북구 서하로194번길 2,1,200만,360도,30일,2022,35.186764,126.901519,2025-12-31
광주광역시 사회재난과,북구 오치동 1003,북구 서하로194번길 2,1,200만,360도,30일,2023,35.186764,126.901519,2025-12-31
광주광역시 사회재난과,북구 오치동 1011-9,북구 송월로58번길 7-1,1,200만,360도,30일,2019,35.18891,126.914113,2025-12-31
광주광역시 사회재난과,북구 오치동 1011-9,북구 송월로58번길 7-1,2,200만,360도,30일,2024,35.18891,126.914113,2025-12-31
광주광역시 사회재난과,북구 오치동 1028-15 ,북구 능안로 21,1,200만,360도,30일,2018,35.187235,126.916978,2025-12-31
광주광역시 사회재난과,북구 오치동 1028-15 ,북구 능안로 21,1,200만,360도,30일,2020,35.187235,126.916978,2025-12-31
광주광역시 사회재난과,북구 오치동 1028-15 ,북구 능안로 21,1,200만,360도,30일,2024,35.187235,126.916978,2025-12-31
광주광역시 사회재난과,북구 오치동 1029-6,북구 송월로40번길 33,2,200만,360도,30일,2022,35.187452,126.915016,2025-12-31
광주광역시 사회재난과,북구 오치동 862-37,,2,200만,360도,30일,2022,35.189505,126.9008,2025-12-31
광주광역시 사회재난과,북구 오치동 862-37,,1,200만,360도,30일,2024,35.189505,126.9008,2025-12-31
광주광역시 사회재난과,북구 오치동 883-13,북구 안산로 33,1,200만,360도,30일,2018,35.190456,126.901972,2025-12-31
광주광역시 사회재난과,북구 오치동 883-13,북구 안산로 33,1,200만,360도,30일,2022,35.190456,126.901972,2025-12-31
광주광역시 사회재난과,북구 오치동 883-13,북구 안산로 33,1,200만,360도,30일,2023,35.190456,126.901972,2025-12-31
광주광역시 사회재난과,북구 오치동 869-6,북구 천지인로 47-3,1,200만,360도,30일,2022,35.18454,126.903901,2025-12-31
광주광역시 사회재난과,북구 오치동 869-6,북구 천지인로 47-3,1,200만,360도,30일,2024,35.18454,126.903901,2025-12-31
광주광역시 사회재난과,북구 오치동 927-1,,3,200만,360도,30일,2024,35.189439,126.907687,2025-12-31
광주광역시 사회재난과,북구 오치동 962-16,북구 서하로257번길 18,1,200만,360도,30일,2022,35.187758,126.909375,2025-12-31
광주광역시 사회재난과,북구 오치동 962-16,북구 서하로257번길 18,1,200만,360도,30일,2023,35.187758,126.909375,2025-12-31
광주광역시 사회재난과,북구 오치동 962-16,북구 서하로257번길 18,1,200만,360도,30일,2024,35.187758,126.909375,2025-12-31
광주광역시 사회재난과,북구 오치동 963-1,북구 서하로273번길 22,1,200만,360도,30일,2019,35.18827,126.910717,2025-12-31
광주광역시 사회재난과,북구 오치동 963-1,북구 서하로273번길 22,1,200만,360도,30일,2020,35.18827,126.910717,2025-12-31
광주광역시 사회재난과,북구 오치동 963-1,북구 서하로273번길 22,1,200만,360도,30일,2023,35.18827,126.910717,2025-12-31
광주광역시 사회재난과,북구 오치동 966-14,북구 서하로274번길 10,2,200만,360도,30일,2022,35.186489,126.910248,2025-12-31
광주광역시 사회재난과,북구 오치동 966-14,북구 서하로274번길 10,2,200만,360도,30일,2022,35.186489,126.910248,2025-12-31
광주광역시 사회재난과,북구 오치동 968-21,북구 우치로238번길 10,2,200만,360도,30일,2022,35.186268,126.905745,2025-12-31
광주광역시 사회재난과,북구 오치동 968-21,북구 우치로238번길 10,1,200만,360도,30일,2024,35.186268,126.905745,2025-12-31
광주광역시 사회재난과,북구 오치동 985-9,북구 천지인로115번길 1,1,200만,360도,30일,2019,35.184036,126.911325,2025-12-31
광주광역시 사회재난과,북구 오치동 985-9,북구 천지인로115번길 1,1,200만,360도,30일,2023,35.184036,126.911325,2025-12-31
